MUNICIPIOS,VIGENCIA,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES POSTURA TOTAL Aves Año,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES POSTURA TOTAL  HUEVOS AÑO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL AVES AÑO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE AVES POR CICLO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE CICLOS Año,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL AVES PRODUCIDOS*,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL  CARNE (Kgs),O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Número O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE de Colmenas,O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Producción O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE Miel Kgs,O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Precio al  Productor $/Kl,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CABALLAR,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES ASNAL,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES MULAR,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES BUFALINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CUNICOLA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CUYICOLA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES OVINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CAPRINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES OTROS
Pital,2013,3.000,870.000,32.000,8.000,"4,00",28.800,47.520,164,6.900,12.000,935,59,22,0,45,35,35,10,
Suaza,2013,3.500,1.015.000,25.000,8.333,"3,00",22.500,37.125,35,1.050,9.000,1.900,22,400,2,30,50,130,36,
Tarqui,2013,3.200,928.000,24.000,6.000,"4,00",21.600,35.640,234,2.088,13.000,2.000,48,355,58,180,0,85,28,
Pitalito,2013,30.000,8.700.000,1.080.000,180.000,"6,00",972.000,1.603.800,2.100,84.000,10.000,6.500,120,450,30,250,350,98,185,
Acevedo,2013,2.250,652.500,30.000,7.500,"4,00",27.600,45.540,90,3.780,10.000,1.890,18,400,10,0,0,0,0,
Elias,2013,3.000,870.000,15.000,3.750,"4,00",13.800,22.770,15,450,12.000,134,7,30,0,300,0,0,0,
Isnos,2013,3.600,1.044.000,28.800,7.200,"4,00",26.496,43.718,45,1.800,12.000,2.350,320,230,17,2500,5800,0,0,
Oporapa,2013,1.350,391.500,29.400,7.350,"4,00",27.048,44.629,10,240,10.000,800,12,125,0,35,310,10,50,
Palestina,2013,4.200,1.218.000,24.000,6.000,"4,00",22.080,36.432,150,6.000,9.000,810,5,200,2,70,350,0,45,
Saladoblanco,2013,1.800,522.000,9.600,2.400,"4,00",8.832,14.573,25,1.000,10.000,1.100,18,270,0,70,360,0,0,
San Agustín,2013,4.500,1.305.000,70.000,17.500,"4,00",64.400,106.260,1.400,56.000,10.000,2.080,18,160,20,3000,28000,150,40,
Timaná,2013,4.500,1.305.000,72.000,18.000,"4,00",66.240,109.296,1.075,43.000,10.000,2.350,20,150,0,150,100,30,10,
Neiva,2014,315.000,91.350.000,900.000,150.000,"6,00",810.000,1.336.500,550,16.500,16.000,3.500,800,2.500,130,500,1700,1.300,1.500,
Aipe,2014,2.000,580.000,320.000,71.111,"4,50",288.000,475.200,205,3.075,18.000,1.430,400,416,12,0,0,100,225,
Algeciras,2014,7.800,2.262.000,12.000,3.000,"4,00",11.040,18.216,800,22.400,16.000,1.250,40,45,10,80,50,250,0,
Baraya,2014,4.800,1.392.000,10.200,3.400,"3,00",9.180,15.147,0,0,,1.800,345,180,100,0,0,3.980,4.500,
Campoalegre,2014,25.000,7.250.000,56.000,14.000,"4,00",50.400,83.160,45,1.350,20.000,1.950,90,452,60,0,0,50,75,
Colombia,2014,3.200,928.000,7.200,1.800,"4,00",6.480,10.692,80,1.200,16.000,4.150,1.200,1.850,250,0,0,2.700,3.500,
Hobo,2014,3.400,986.000,27.000,6.750,"4,00",24.300,40.095,0,,,350,74,279,22,185,250,585,625,
Iquira,2014,4.100,1.189.000,16.000,4.000,"4,00",14.720,24.288,20,200,15.000,2.500,400,200,20,60,50,50,45,
Palermo,2014,215.000,62.350.000,635.000,105.833,"6,00",571.500,942.975,150,2.700,12.000,2.000,300,250,54,150,50,40,50,
Rivera,2014,312.000,90.480.000,470.000,78.333,"6,00",423.000,697.950,0,,,120,320,220,30,0,160,120,130,
Santa Maria,2014,3.200,928.000,20.000,6.667,"3,00",18.400,30.360,150,6.000,18.000,350,40,60,16,200,150,400,100,
Tello,2014,6.000,1.740.000,10.000,2.500,"4,00",9.000,14.850,50,900,20.000,3.000,800,1.000,1,0,0,350,400,
Teruel,2014,4.800,1.392.000,10.000,3.333,"3,00",9.000,14.850,9,720,1.600,253,223,65,7,0,0,13,35,
