MUNICIPIOS,VIGENCIA,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO DE LA COSECHA Kg,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS S,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS C,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CACHAMA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CACHAMA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS PRODUCCIÒN EN ESTANQUES CARPA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CARPA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES TRUCHA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES TRUCHA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES BOCACHICO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES BOCACHICO PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES SABALO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES SABALO PESO PROM UNIDAD (Gs),PRODUCCIÒN TOTAL PESO DE LA COSECHA Kg,PRODUCCIÒN TOTAL No. ALEVINOS S,PRODUCCIÒN TOTAL No. ALEVINOS C
Gigante,2013,0,0,0,0,32.200,98.500,92.000,350,115.000,300.000,270.000,426,300,700,600,500,0,0,0,0,132,400,385,343,5.400,20.000,18.000,300,30.000,75.000,70.000,429,183.032,494.600,450.985
Guadalupe,2013,0,0,0,0,12.500,36.000,25.000,500,12.810,20.000,18.300,700,0,0,0,0,0,0,0,0,7.200,18.000,12.000,600,304,500,380,800,2.240,3.000,2.800,800,35.054,77.500,58.480
Pital,2013,0,0,0,0,13.680,38.000,34.200,400,2.950,7.200,6.500,454,0,0,0,0,0,0,0,0,4.198,12.500,11.500,365,0,0,0,0,0,0,0,0,20.828,57.700,52.200
Suaza,2013,0,0,0,0,17.800,60.000,52.800,337,9.000,24.000,21.120,426,408,1.000,850,480,3.720,12.000,10.500,354,0,0,0,0,0,0,0,0,1.150,3.000,2.760,417,32.078,100.000,88.030
Tarqui,2013,0,0,0,0,4.760,12.500,10.200,467,3.600,4.500,4.000,900,0,0,0,0,0,0,0,0,0,0,0,0,2.400,3.500,3.000,800,900,2.500,2.300,391,11.660,23.000,19.500
Pitalito,2013,0,0,0,0,32.500,95.000,89.500,363,2.475,6.000,5.500,450,1.659,3.500,3.255,510,13.500,35.000,33.250,406,350,1.000,920,380,250,500,460,543,2.500,7.500,6.900,362,53.234,148.500,139.785
Acevedo,2013,0,0,0,0,2.500,5.500,5.200,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.500,5.500,5.200
Elias,2013,0,0,0,0,650,1.800,1.500,433,2.563,5.200,4.836,530,98,150,140,703,0,0,0,0,0,0,0,0,12,40,37,326,0,0,0,0,3.323,7.190,6.512
Isnos,2013,0,0,0,0,2.100,5.200,4.650,452,0,0,0,0,100,320,298,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.200,5.520,4.948
Oporapa,2013,0,0,0,0,3.600,10.000,8.800,409,280,550,512,547,315,650,605,521,1.500,2.800,2.604,576,0,0,0,0,0,0,0,0,0,0,0,0,5.695,14.000,12.520
Palestina,2013,0,0,0,0,1.800,4.500,4.000,450,0,0,0,0,245,510,474,517,5.350,14.200,13.250,404,0,0,0,0,0,0,0,0,0,0,0,0,7.395,19.210,17.724
Saladoblanco,2013,0,0,0,0,520,1.500,1.300,400,78,150,140,559,35,100,93,376,500,1.200,1.116,448,0,0,0,0,0,0,0,0,0,0,0,0,1.133,2.950,2.649
San Agustín,2013,0,0,0,0,3.200,8.200,7.500,427,425,700,620,685,100,210,195,512,4.500,13.250,10.850,415,0,0,0,0,0,0,0,0,120,280,258,466,8.345,22.640,19.423
Timaná,2013,0,0,0,0,21.200,56.000,52.000,408,3.126,5.200,4.836,646,0,0,0,0,750,1.750,1.560,481,0,0,0,0,0,0,0,0,1.250,3.850,3.542,353,26.326,66.800,61.938
Neiva,2014,0,0,0,0,450.000,1.500.000,1.325.000,340,472500,1.100.000,1.050.000,450,11.000,25.000,22.000,500,1.572,3.500,3.255,483,0,0,0,0,0,0,0,0,800,1.800,1.656,483,935.872,2.630.300,2.401.911
Aipe,2014,0,0,0,0,2.854.000,8.965.000,8.100.000,352,450.256,1.300.000,1.052.000,428,0,0,0,0,0,0,0,0,0,0,0,0,1.100,3.450,3.050,361,177.000,456.000,385.000,460,3.482.356,10.724.450,9.540.050
Algeciras,2014,0,0,0,0,16.000,56.000,45.600,351,1.075,2.500,2.150,500,1.130,2.500,2.100,538,2.530,7.500,7.000,361,0,0,0,0,0,0,0,0,5.720,16.250,14.300,400,26.455,84.750,71.150
Baraya,2014,0,0,0,0,275.000,865.000,774.000,355,17.842,24.500,22.000,811,65,100,65,1000,0,0,0,0,0,0,0,0,0,0,0,0,3.380,6.500,5.200,650,296.287,896.100,801.265
