MUNICIPIOS,VIGENCIA,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO DE LA COSECHA Kg,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS S,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS C,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CACHAMA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CACHAMA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS PRODUCCIÒN EN ESTANQUES CARPA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CARPA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES TRUCHA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES TRUCHA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES BOCACHICO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES BOCACHICO PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES SABALO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES SABALO PESO PROM UNIDAD (Gs),PRODUCCIÒN TOTAL PESO DE LA COSECHA Kg,PRODUCCIÒN TOTAL No. ALEVINOS S,PRODUCCIÒN TOTAL No. ALEVINOS C
Teruel,2020,0,0,0,0,8.296,16.000,24.400,340,0,0,0,400,560,1.000,800,700,0,0,0,0,14.000,25.600,23.000,609,0,0,0,0,0,0,0,0,22.856,42.600,48.200
Villavieja,2020,0,0,0,0,3.865.000,7.450.000,6.350.000,609,1.350.000,3.200.000,2.050.000,659,33.908,80.000,67.000,506,0,0,0,0,0,0,0,0,3.450,11.000,7.800,442,11.950,28.000,23.000,520,5.264.308,10.769.000,8.497.800
Yaguará ,2020,10.550.000,32.000.000,15.700.000,672,378.000,1.550.000,1.100.000,344,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.928.000,33.550.000,16.800.000
La PLata,2020,0,0,0,0,225.000,610.000,560.000,402,0,0,0,100,36.000,55.000,48.000,750,34.000,45.000,38.000,895,0,0,0,0,0,0,0,0,0,0,0,0,295.000,710.000,646.000
La Argentina,2020,0,0,0,0,230.000,550.000,476.000,483,0,0,0,900,5.330,10.000,8.200,650,0,0,0,0,12.800,30.000,25.600,500,0,0,0,0,0,0,0,0,248.130,590.000,509.800
Nátaga,2020,0,0,0,0,5.200,16.000,13.000,400,0,0,0,200,2.310,5.000,3.850,600,0,0,0,0,750,1.500,1.300,577,0,0,0,0,0,0,0,0,8.260,22.500,18.150
Paicol,2020,0,0,0,0,124.300,470.000,315.000,395,0,0,0,300,6.000,10.000,8.000,750,0,0,0,0,0,0,0,0,0,0,0,0,1.125,2.000,1.500,750,131.425,482.000,324.500
Tesalia,2020,0,0,0,0,40.000,100.000,80.000,500,0,0,0,0,2.400,5.000,4.800,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.400,105.000,84.800
Garzón,2020,0,0,0,0,4.800.000,10.100.000,8.600.000,558,205.000,500.000,390.000,526,530.000,640.000,550.000,964,480.000,535.000,480.000,1000,284.000,780.000,710.000,400,275.000,676.000,550.000,500,464.000,650.000,580.000,800,7.038.000,13.881.000,11.860.000
Agrado,2020,0,0,0,0,205.375,620.000,450.000,456,0,0,0,250,2.500,3.500,2.500,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.875,623.500,452.500
Altamira,2020,0,0,0,0,55.000,170.000,110.000,500,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.000,170.000,110.000
Gigante,2020,0,0,0,0,1.664.640,4.160.000,3.161.600,527,230.000,720.000,547.200,420,0,0,0,0,0,0,0,0,0,0,0,0,87.400,230.000,174.800,500,0,0,0,0,1.982.040,5.110.000,3.883.600
Guadalupe,2020,0,0,0,0,190.475,250.000,235.000,811,0,0,0,14800,101.000,250.000,200.000,505,480,1.400,1.000,480,5.500,12.000,11.000,500,304,1.000,800,380,0,0,0,0,297.759,514.400,447.800
Pital,2020,0,0,0,0,125.000,460.000,305.000,410,0,0,0,710,7.350,8.100,7.350,1000,0,0,0,0,3.575,8.000,6.500,550,0,0,0,0,0,0,0,0,135.925,476.100,318.850
Suaza,2020,0,0,0,0,121.600,370.000,300.000,405,0,0,0,400,0,0,0,0,970,1.000,970,1000,6.900,14.200,13.800,500,0,0,0,0,2.952,4.270,3.690,800,132.422,389.470,318.460
Tarqui,2020,0,0,0,0,124.400,320.000,286.000,435,0,0,0,203,4.400,5.800,5.500,800,0,0,0,0,0,0,0,0,1.500,3.200,3.000,500,0,0,0,0,130.300,329.000,294.500
Pitalito,2020,0,0,0,0,385.000,950.000,810.000,475,0,0,0,400,49.300,67.000,58.000,850,3.550,4.100,3.852,922,105.000,200.000,176.000,597,252,500,475,530,2.415,6.800,6.355,380,545.517,1.228.400,1.054.682
Acevedo,2020,0,0,0,0,150.000,530.000,430.000,349,1.150,3.000,2.300,500,54.000,200.000,120.000,450,1.200,5.000,3.000,400,4.500,10.000,9.000,500,5.000,20.000,10.000,500,0,0,0,0,215.850,768.000,574.300
Elias,2020,0,0,0,0,87.000,250.000,187.000,465,0,0,0,55300,2.465,5.000,4.650,530,98,150,140,703,835,2.000,1.670,500,139,400,300,463,0,0,0,0,90.537,257.550,193.760
Isnos,2020,0,0,0,0,95.000,235.000,200.000,475,890,4.000,1.780,500,528,900,880,600,1.183,5.300,2.150,550,1.095,5.200,1.990,550,0,0,0,0,0,0,0,0,98.695,250.400,206.800
Oporapa,2020,0,0,0,0,45.000,135.000,105.000,429,0,0,0,400,307,550,512,600,420,670,600,700,2.550,4.800,4.250,600,0,0,0,0,0,0,0,0,48.277,141.020,110.362
Palestina,2020,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,105.000,290.000,245.000,429,0,0,0,0,0,0,0,0,105.000,290.000,245.000
Saladoblanco,2020,0,0,0,0,50.000,145.000,125.000,400,4.500,10.000,9.000,500,0,0,0,0,0,0,0,0,14.000,30.000,28.000,500,0,0,0,0,0,0,0,0,68.500,185.000,162.000
San Agustín,2020,0,0,0,0,65.000,215.000,176.000,369,0,0,0,250,0,0,0,0,0,0,0,0,5.400,12.500,9.500,568,0,0,0,0,0,0,0,0,70.400,227.500,185.500
Timaná,2020,0,0,0,0,76.000,210.000,167.000,455,2.115,3.000,4.700,450,2.115,5.000,4.000,529,540,1.000,900,600,0,0,0,0,81,200,180,450,203,500,450,450,81.054,219.700,177.230
