VIGENCIA,CODIGO DANE,MUNICIPIOS,CONSUMO DE ENERGIA Kwh,Valor
2015,41006,Acevedo,Comercial,1188440
2015,41013,Agrado,Comercial,374549
2015,41016,Aipe,Comercial,1246081
2015,41020,Algeciras,Comercial,752472
2015,41026,Altamira,Comercial,200902
2015,41078,Baraya,Comercial,310839
2015,41132,Campoalegre,Comercial,2746277
2015,41206,Colombia,Comercial,132230
2015,41244,Elias,Comercial,316760
2015,41298,Garzon,Comercial,155804
2015,41306,Gigante,Comercial,6266162
2015,41319,Guadalupe,Comercial,1647117
2015,41349,Hobo,Comercial,435562
2015,41357,Iquira,Comercial,996237
2015,41359,Isnos,Comercial,165205
2015,41378,La Argentina,Comercial,703315
2015,41396,La Plata,Comercial,133503
2015,41483,Nataga,Comercial,3509911
2015,41503,Oporapa,Comercial,105454
2015,41518,Paicol,Comercial,185973
2015,41524,Palermo,Comercial,113805
2015,41530,Palestina,Comercial,6640360
2015,41548,Pital,Comercial,251278
2015,41551,Pitalito,Comercial,17336173
2015,41615,Rivera,Comercial,2189606
2015,41660,Saladoblanco,Comercial,307315
2015,41668,San Agustin,Comercial,1145324
2015,41676,Santa Maria,Comercial,313017
2015,41770,Suaza,Comercial,401403
2015,41791,Tarqui,Comercial,463436
2015,41799,Tello,Comercial,403029
2015,41801,Teruel,Comercial,347243
2015,41797,Tesalia,Comercial,478488
2015,41807,Timana,Comercial,722703
2015,41872,Villavieja,Comercial,125651
2015,41885,Yaguara,Comercial,662273
2014,41001, NEIVA,Comercial,76785745
2014,41006, ACEVEDO,Comercial,954978
2014,41013, AGRADO,Comercial,336464
2014,41016, AIPE,Comercial,1102650
2014,41020, ALGECIRAS,Comercial,526413
2014,41026, ALTAMIRA,Comercial,166441
2014,41078, BARAYA,Comercial,318460
2014,41132, CAMPOALEGRE,Comercial,2377588
2014,41206, COLOMBIA,Comercial,124670
2014,41244,Elias,Comercial,115598
2014,41298,Garzon,Comercial,4423003
2014,41306, GIGANTE,Comercial,1196475
2014,41319, GUADALUPE,Comercial,355979
2014,41349, HOBO,Comercial,1003048
2014,41357, IQUIRA,Comercial,152988
2014,41359, ISNOS,Comercial,514646
2014,41378, LA ARGENTINA,Comercial,85998
2014,41396, LA PLATA,Comercial,2649949
2014,41483,Nataga,Comercial,87865
2014,41503, OPORAPA,Comercial,165856
2014,41518, PAICOL,Comercial,81466
2014,41524, PALERMO,Comercial,4152588
2014,41530, PALESTINA,Comercial,200196
2014,41548, PITAL,Comercial,265327
2014,41551, PITALITO,Comercial,13275961
2014,41615, RIVERA,Comercial,1704871
2014,41660,Saladoblanco,Comercial,207739
2014,41668,San Agustin,Comercial,1121175
2014,41676,Santa Maria,Comercial,278760
2014,41770, SUAZA,Comercial,290017
2014,41791, TARQUI,Comercial,346001
2014,41799, TELLO,Comercial,284536
2014,41801, TERUEL,Comercial,255552
2014,41797, TESALIA,Comercial,457018
2014,41807,Timana,Comercial,790907
2014,41872, VILLAVIEJA,Comercial,86403
2014,41885,Yaguara,Comercial,1322346
2013,41001, NEIVA,Comercial,84653325
2013,41006, ACEVEDO,Comercial,957097
2013,41013, AGRADO,Comercial,306122
2013,41016, AIPE,Comercial,1027091
2013,41020, ALGECIRAS,Comercial,466868
2013,41026, ALTAMIRA,Comercial,152373
2013,41078, BARAYA,Comercial,184953
2013,41132, CAMPOALEGRE,Comercial,1977330
2013,41206, COLOMBIA,Comercial,123855
2013,41244, EL PITAL,Comercial,233779
2013,41298,Elias,Comercial,117496
2013,41306,Garzon,Comercial,4732396
2013,41319, GIGANTE,Comercial,1320346
2013,41349, GUADALUPE,Comercial,313944
2013,41357, HOBO,Comercial,634864
2013,41359, IQUIRA,Comercial,136773
2013,41378, ISNOS,Comercial,497920
2013,41396, LA ARGENTINA,Comercial,107301
2013,41483, LA PLATA,Comercial,2465154
2013,41503,Nataga,Comercial,88626
2013,41518, OPORAPA,Comercial,148310
2013,41524, PAICOL,Comercial,75366
2013,41530, PALERMO,Comercial,5248174
2013,41548, PALESTINA,Comercial,182750
2013,41551, PITALITO,Comercial,13123451
2013,41615, RIVERA,Comercial,1574887
2013,41660,Saladoblanco,Comercial,159077
2013,41668,San Agustin,Comercial,1109577
2013,41676,Santa Maria,Comercial,282698
2013,41770, SUAZA,Comercial,267831
2013,41791, TARQUI,Comercial,285333
2013,41799, TELLO,Comercial,224402
2013,41801, TERUEL,Comercial,233169
2013,41797, TESALIA,Comercial,451272
2013,41807,Timana,Comercial,840425
2013,41872, VILLAVIEJA,Comercial,75980
2013,41885,Yaguara,Comercial,1569469
2018,41001,Neiva,Oficial,13090671
2018,41006,Acevedo,Oficial,264286
2018,41013,Agrado,Oficial,98912
2018,41016,Aipe,Oficial,896657
2018,41020,Algeciras,Oficial,499573
2018,41026,Altamira,Oficial,63642
2018,41078,Baraya,Oficial,208388
2018,41132,Campoalegre,Oficial,581750
2018,41206,Colombia,Oficial,128235
2018,41244,Elias,Oficial,57393
2018,41298,Garzon,Oficial,1681532
2018,41306,Gigante,Oficial,390951
2018,41319,Guadalupe,Oficial,381551
2018,41349,Hobo,Oficial,148947
2018,41357,Iquira,Oficial,79422
2018,41359,Isnos,Oficial,242175
2018,41378,La Argentina,Oficial,88280
2018,41396,La Plata,Oficial,1600129
2018,41483,Nataga,Oficial,56756
2018,41503,Oporapa,Oficial,84622
2018,41518,Paicol,Oficial,145404
2018,41524,Palermo,Oficial,724315
2018,41530,Palestina,Oficial,101606
2018,41548,Pital,Oficial,115853
2018,41551,Pitalito,Oficial,2102558
2018,41615,Rivera,Oficial,991579
2018,41660,Saladoblanco,Oficial,119173
2018,41668,San Agustin,Oficial,201023
2018,41676,Santa Maria,Oficial,116354
2018,41770,Suaza,Oficial,287029
2018,41791,Tarqui,Oficial,190596
2018,41799,Tello,Oficial,195745
2018,41801,Teruel,Oficial,129693
2018,41797,Tesalia,Oficial,143888
2018,41807,Timana,Oficial,174812
2018,41872,Villavieja,Oficial,143222
2018,41885,Yaguara,Oficial,319599
2017,41001,Neiva,Oficial,22420126
