DANE,MUNICIPIO,VIGENCIA,INDICADOR,CALIFICACIÓN
41503,OPORAPA,2019,"0,97",Cumplimiento óptimo
41518,PAICOL,2019,"0,00",Igual a 0
41524,PALERMO,2019,"0,97",Cumplimiento óptimo
41551,PITALITO,2019,"0,95",Cumplimiento óptimo
41660,SALADOBLANCO,2019,"0,97",Cumplimiento óptimo
41668,SAN AGUSTÍN,2019,"0,99",Cumplimiento óptimo
41676,SANTA MARÍA,2019,"0,98",Cumplimiento óptimo
41770,SUAZA,2019,"0,99",Cumplimiento óptimo
41791,TARQUI,2019,"0,98",Cumplimiento óptimo
41797,TESALIA,2019,"0,96",Cumplimiento óptimo
41799,TELLO,2019,"0,98",Cumplimiento óptimo
41801,TERUEL,2019,"0,97",Cumplimiento óptimo
41807,TIMANA,2019,"0,95",Cumplimiento óptimo
41885,YAGUARÁ,2019,"0,97",Cumplimiento óptimo
41001,NEIVA,2018,"0,97",Cumplimiento óptimo
41006,ACEVEDO,2018,"0,59",Incumplimiento medio
41132,CAMPOALEGRE,2018,"0,97",Cumplimiento óptimo
41244,ELÍAS,2018,"0,60",Incumplimiento medio
41298,GARZÓN,2018,"0,98",Cumplimiento óptimo
41378,LA ARGENTINA,2018,"0,96",Cumplimiento óptimo
41483,NÁTAGA,2018,"0,99",Cumplimiento óptimo
41548,PITAL,2018,"0,95",Cumplimiento óptimo
41551,PITALITO,2018,"0,96",Cumplimiento óptimo
41660,SALADOBLANCO,2018,"0,99",Cumplimiento óptimo
41668,SAN AGUSTÍN,2018,"0,97",Cumplimiento óptimo
41770,SUAZA,2018,"0,95",Cumplimiento óptimo
41797,TESALIA,2018,"0,98",Cumplimiento óptimo
41799,TELLO,2018,"0,97",Cumplimiento óptimo
41001,NEIVA,2017,"0,97",Cumplimiento óptimo
41026,ALTAMIRA,2017,"0,75",Incumplimiento medio
41206,COLOMBIA,2017,"0,75",Incumplimiento medio
41244,ELÍAS,2017,"0,58",Incumplimiento medio
41357,ÍQUIRA,2017,"0,78",Incumplimiento medio
41483,NÁTAGA,2017,"0,70",Incumplimiento medio
41530,PALESTINA,2017,"0,77",Incumplimiento medio
41551,PITALITO,2017,"0,96",Cumplimiento óptimo
41615,RIVERA,2017,"0,79",Incumplimiento medio
41676,SANTA MARÍA,2017,"0,80",Incumplimiento medio
41797,TESALIA,2017,"0,96",Cumplimiento óptimo
41872,VILLA VIEJA,2017,"0,59",Incumplimiento medio
41885,YAGUARÁ,2017,"0,96",Cumplimiento óptimo
41001,NEIVA,2016,"0,98",Cumplimiento óptimo
41078,BARAYA,2016,"0,69",Incumplimiento medio
41132,CAMPOALEGRE,2016,"0,96",Cumplimiento óptimo
41244,ELÍAS,2016,"0,51",Incumplimiento medio
41298,GARZÓN,2016,"0,98",Cumplimiento óptimo
41378,LA ARGENTINA,2016,"0,95",Cumplimiento óptimo
41396,LA PLATA,2016,"0,96",Cumplimiento óptimo
41503,OPORAPA,2016,"0,00",Igual a 0
41518,PAICOL,2016,"0,97",Cumplimiento óptimo
41548,PITAL,2016,"0,79",Incumplimiento medio
41615,RIVERA,2016,"0,70",Incumplimiento medio
41668,SAN AGUSTÍN,2016,"0,97",Cumplimiento óptimo
