vigencia,CODIGO DANE,MPIO.,ESTRATO,Mes,Usuario
2016,41306,GIGANTE,Industrial,AGOSTO,0
2016,41306,GIGANTE,Industrial,SEPTIEMBRE,0
2016,41306,GIGANTE,Industrial,OCTUBRE,0
2016,41306,GIGANTE,Industrial,NOVIEMBRE,0
2016,41306,GIGANTE,Industrial,DICIEMBRE,0
2016,41349,HOBO,Industrial,ENERO,0
2016,41349,HOBO,Industrial,FEBRERO,0
2016,41349,HOBO,Industrial,MARZO,0
2016,41349,HOBO,Industrial,ABRIL,0
2016,41349,HOBO,Industrial,MAYO,0
2016,41349,HOBO,Industrial,JUNIO,0
2016,41349,HOBO,Industrial,JULIO,0
2016,41349,HOBO,Industrial,AGOSTO,0
2016,41349,HOBO,Industrial,SEPTIEMBRE,0
2016,41349,HOBO,Industrial,OCTUBRE,0
2016,41349,HOBO,Industrial,NOVIEMBRE,0
2016,41349,HOBO,Industrial,DICIEMBRE,0
2016,41396,LA PLATA,Industrial,ENERO,0
2016,41396,LA PLATA,Industrial,FEBRERO,0
2016,41396,LA PLATA,Industrial,MARZO,0
2016,41396,LA PLATA,Industrial,ABRIL,0
2016,41396,LA PLATA,Industrial,MAYO,0
2016,41396,LA PLATA,Industrial,JUNIO,0
2016,41396,LA PLATA,Industrial,JULIO,0
2016,41396,LA PLATA,Industrial,AGOSTO,0
2016,41396,LA PLATA,Industrial,SEPTIEMBRE,0
2016,41396,LA PLATA,Industrial,OCTUBRE,0
2016,41396,LA PLATA,Industrial,NOVIEMBRE,0
2016,41396,LA PLATA,Industrial,DICIEMBRE,0
2016,41518,PAICOL,Industrial,ENERO,0
2016,41518,PAICOL,Industrial,FEBRERO,0
2016,41518,PAICOL,Industrial,MARZO,0
2016,41518,PAICOL,Industrial,ABRIL,0
2016,41518,PAICOL,Industrial,MAYO,0
2016,41518,PAICOL,Industrial,JUNIO,0
2016,41518,PAICOL,Industrial,JULIO,0
2016,41518,PAICOL,Industrial,AGOSTO,0
2016,41518,PAICOL,Industrial,SEPTIEMBRE,0
2016,41518,PAICOL,Industrial,OCTUBRE,0
2016,41518,PAICOL,Industrial,NOVIEMBRE,0
2016,41518,PAICOL,Industrial,DICIEMBRE,0
2016,41524,PALERMO,Industrial,ENERO,0
2016,41524,PALERMO,Industrial,FEBRERO,0
2016,41524,PALERMO,Industrial,MARZO,0
2016,41524,PALERMO,Industrial,ABRIL,0
2016,41524,PALERMO,Industrial,MAYO,0
2016,41524,PALERMO,Industrial,JUNIO,0
2016,41524,PALERMO,Industrial,JULIO,0
2016,41524,PALERMO,Industrial,AGOSTO,0
2016,41524,PALERMO,Industrial,SEPTIEMBRE,0
2016,41524,PALERMO,Industrial,OCTUBRE,0
2016,41524,PALERMO,Industrial,NOVIEMBRE,0
2016,41524,PALERMO,Industrial,DICIEMBRE,0
2016,41791,TARQUI,Industrial,ENERO,0
2016,41791,TARQUI,Industrial,FEBRERO,0
2016,41791,TARQUI,Industrial,MARZO,0
2016,41791,TARQUI,Industrial,ABRIL,0
2016,41791,TARQUI,Industrial,MAYO,0
2016,41791,TARQUI,Industrial,JUNIO,0
2016,41791,TARQUI,Industrial,JULIO,0
2016,41791,TARQUI,Industrial,AGOSTO,0
2016,41791,TARQUI,Industrial,SEPTIEMBRE,0
2016,41791,TARQUI,Industrial,OCTUBRE,0
