VIGENCIA,CODIGO DANE,MUNICIPIOS,SECTORES,Cant
2013,41801, Teruel,Autoconsumo,0
2013,41799, Tello,Autoconsumo,0
2013,41791, Tarqui,Autoconsumo,0
2013,41770, Suaza,Autoconsumo,0
2013,41660,Saladoblanco,Autoconsumo,0
2013,41548, Palestina,Autoconsumo,0
2013,41524, Paicol,Autoconsumo,0
2013,41503,Nataga,Autoconsumo,0
2013,41396, La Argentina,Autoconsumo,0
2013,41349, Guadalupe,Autoconsumo,0
2013,41298,Elias,Autoconsumo,0
2013,41013, Agrado,Autoconsumo,0
2018,41660,Saladoblanco,Industrial,0
2018,41244,Elias,Industrial,0
2017,41660,Saladoblanco,Industrial,0
2017,41244,Elias,Industrial,0
2016,41660,Saladoblanco,Industrial,0
2016,41244,Elias,Industrial,0
2015,41797,Tesalia,Area Comunes Provisional Bombeo y Especial,0
2015,41801,Teruel,Area Comunes Provisional Bombeo y Especial,0
2015,41676,Santa Maria,Area Comunes Provisional Bombeo y Especial,0
2015,41660,Saladoblanco,Area Comunes Provisional Bombeo y Especial,0
2015,41548,El Pital,Area Comunes Provisional Bombeo y Especial,0
2015,41503,Oporapa,Area Comunes Provisional Bombeo y Especial,0
2015,41359,Isnos,Area Comunes Provisional Bombeo y Especial,0
2015,41319,Guadalupe,Area Comunes Provisional Bombeo y Especial,0
2015,41298,Garzon,Area Comunes Provisional Bombeo y Especial,0
2015,41244,Elias,Area Comunes Provisional Bombeo y Especial,0
2015,41078,Baraya,Area Comunes Provisional Bombeo y Especial,0
2015,41026,Altamira,Area Comunes Provisional Bombeo y Especial,0
2015,41013,Agrado,Area Comunes Provisional Bombeo y Especial,0
2015,41006,Acevedo,Area Comunes Provisional Bombeo y Especial,0
2015,41660,Saladoblanco,Industrial,0
2015,41524,Palermo,Industrial,0
2015,41396,La Plata,Industrial,0
2015,41298,Garzon,Industrial,0
2015,41206,Colombia,Industrial,0
2014,41244,Elias,Industrial,0
2013,41298,Elias,Industrial,0
2018,41885,Yaguara,Riego,183709
2018,41872,Villavieja,Riego,3824124
2018,41797,Tesalia,Riego,437200
2018,41799,Tello,Riego,625460
2018,41791,Tarqui,Riego,606
2018,41615,Rivera,Riego,119125
2018,41548,El Pital,Riego,232
2018,41524,Palermo,Riego,3164225
2018,41357,Iquira,Riego,10756
2018,41349,Hobo,Riego,6165
2018,41132,Campoalegre,Riego,1542722
2018,41078,Baraya,Riego,99172
2018,41026,Altamira,Riego,165600
